issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
","Claude access lost",Claude,"We understand this is frustrating. However, restoring workspace access requires action from your organization's workspace Owner or Admin. Since your IT admin removed your seat, they or another Admin/Owner on your team would need to re-add you. Please contact your IT administrator or workspace Owner to have your seat restored. For more details on how member management works, refer to the 'Manage members on Team and Enterprise plans' article in the Claude Help Center. If your organization's admin is unresponsive, you can reach Anthropic support at https://support.claude.com for further assistance.",team-and-enterprise-plans,escalated,product_issue,"Access restoration requires authorization from workspace Owner/Admin. The user is not an admin and cannot self-restore. This involves account access management which should be escalated to ensure proper authorization is verified before any changes are made."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"We understand your frustration with the test outcome. However, HackerRank does not have the ability to modify test scores, override recruiter decisions, or instruct companies on their hiring process. Test scores are determined by automated evaluation of your code against predefined test cases. The recruiter and hiring company have full authority over their hiring decisions. If you believe there was a technical issue during your test (such as a platform malfunction), please provide specific details about the issue so we can investigate. For future assessments, we recommend practicing on HackerRank's community challenges to improve your skills.",screen,escalated,product_issue,"The user is requesting score modification and interference with a company's hiring decision. HackerRank cannot alter scores or influence recruiter decisions. This is a high-risk request involving evaluation integrity and must be escalated."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"We're sorry to hear about your experience. To dispute a charge on your Visa card, please contact your card issuer or bank using the phone number located on the front or back of your Visa card. Your bank will require detailed information about the transaction before resolving the disputed charge. Please note that Visa does not directly process refunds or manage merchant accounts — this is handled through your card-issuing bank. If you have concerns about the merchant, you can take action by filling out a form at https://www.visa.com/Forms/visa-rules.html. For further assistance, you can call Visa support at 1-800-847-2911.",general_support,escalated,product_issue,"This involves a financial dispute and refund request. Per Visa documentation, charge disputes must go through the card issuer/bank. Visa does not directly process refunds. Escalating as it involves billing/payment matters."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"We're sorry to hear your mock interview was interrupted. This could be due to a network connectivity issue, browser compatibility, or a platform glitch. We recommend the following troubleshooting steps: 1) Ensure you are using a supported browser (Chrome is recommended). 2) Check your internet connection stability. 3) Clear your browser cache and try again. 4) Verify system compatibility using HackerRank's compatibility check tool. Regarding your refund request, this needs to be handled by our billing team. A human agent will follow up with you to process this.",interviews,escalated,product_issue,"The user is requesting a refund, which involves billing and payment processing. This must be escalated to the billing team. The technical issue with mock interviews stopping may also require investigation."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"We understand you're experiencing a payment issue. Payment and billing matters need to be handled by our support team directly. A human agent will review your payment with order ID cs_live_abcdefgh and assist you. In the meantime, you can manage your billing information by navigating to your account settings. For more information, refer to the 'Manage Billing' section in HackerRank's help documentation.",subscriptions-payments,escalated,product_issue,"This involves a specific payment issue with an order ID. Payment processing and billing disputes require human intervention and access to billing systems. Escalating for safety."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Thank you for your interest in using HackerRank for hiring! For information security questionnaires and compliance-related requests, we recommend reaching out to HackerRank's Solution Engineering team, who can assist with your infosec review process. You can contact them through the 'Contact HackerRank Support' page. Additionally, HackerRank provides GDPR compliance information and details about data handling practices in the help documentation under 'GDPR FAQs for HackerRank for Work'. For a general overview of HackerRank's security practices, the Solution Engineering team will be happy to walk you through the process.",general_support,escalated,product_issue,"The user is requesting help with information security compliance forms, which requires involvement from the Solution Engineering team. This is outside the scope of automated support and needs human assistance."
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"We're sorry you're having trouble seeing the Apply tab. This could be due to a few reasons: 1) Browser compatibility — please ensure you're using a supported browser such as Google Chrome. HackerRank recommends Chrome for the best experience. 2) Clear your browser cache and cookies, then try again. 3) Try accessing the page in an incognito/private browsing window. 4) Ensure your browser is up to date. If the issue persists after trying these steps, please provide more details about what page you're on and what you're trying to access so we can investigate further. You can also refer to HackerRank's Browser Recommendations article for supported browser information.",hackerrank_community,replied,bug,"The user reports a UI element not appearing. This is likely a browser compatibility issue. The response provides troubleshooting steps grounded in HackerRank's browser recommendations documentation."
"none of the submissions across any challenges are working on your website",Issue while taking the test,HackerRank,"We apologize for the inconvenience. If submissions are failing across all challenges, this may indicate a broader issue. Please try the following troubleshooting steps: 1) Use a supported browser — Google Chrome is recommended by HackerRank. 2) Clear your browser cache and cookies. 3) Disable any browser extensions that might interfere (ad blockers, VPNs). 4) Check your internet connection stability. 5) Try accessing the site in an incognito/private window. 6) Ensure the URLs and IP addresses for HackerRank are allowlisted if you're on a restricted network. If the issue persists after these steps, please contact HackerRank support with details about the errors you're seeing, your browser version, and operating system so we can investigate further.",hackerrank_community,replied,bug,"The user reports a submission failure across all challenges, which is a technical issue. Troubleshooting steps are provided based on HackerRank's browser and network recommendations."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"We understand you're blocked by a Zoom connectivity issue during the compatibility check. HackerRank Interviews uses Zoom integration for audio and video calls. Here are some steps to resolve this: 1) Ensure Zoom is installed and updated to the latest version on your system. 2) Check that your firewall or network is not blocking Zoom connections. 3) Verify that your browser has permissions to access the camera and microphone. 4) Try disabling any VPN or proxy that might interfere with Zoom connectivity. 5) Refer to the 'Audio and Video Calls in Interviews Powered by Zoom' article for detailed prerequisites and system compatibility requirements. If the issue persists, please contact HackerRank support with screenshots of the compatibility check error for further investigation.",interviews,replied,product_issue,"The user has a specific technical issue with Zoom connectivity during compatibility check. Troubleshooting guidance is provided based on HackerRank's documentation on Zoom-powered interviews."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"We understand your situation. However, HackerRank assessments are managed by the company that invited you to take the test. HackerRank does not have the ability to reschedule assessments on behalf of companies. We recommend contacting the recruiter or HR representative at the company directly to request a reschedule. They can either extend your test deadline, cancel and resend the invite, or provide an alternative assessment window. For reference, companies can modify test expiration times and reinvite candidates as documented in HackerRank's platform.",screen,replied,product_issue,"The user wants to reschedule an assessment. HackerRank cannot reschedule tests — only the inviting company can. The response directs the user to contact their recruiter, grounded in HackerRank's test management documentation."
