issue,subject,company,response,product_area,status,request_type,justification
I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,Test Active in the system,HackerRank,"According to our documentation, test invitations remain active until their expiry date. You can set an expiry date for each test invitation when you create or edit it. If you need help with setting the expiry date or have any other questions about tests, feel free to ask.",tests,replied,product_issue,"The provided documentation (Document 1) explains how to set an expiry date for a test invitation, which answers the user's question about how long tests stay active in the system."
site is down & none of the pages are accessible,,None,I'm unable to provide a solution for your issue as it seems to be related to a site-wide outage. I recommend reaching out to the support team directly so they can assist you further.,general_support,escalated,product_issue,"The provided documentation does not cover site-wide outages or accessibility issues, and I do not have enough information to safely troubleshoot the problem. Escalation is necessary for this issue."
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?",HackerRank,We are unable to process your request at this time. A human agent will follow up with you shortly.,general_help,escalated,product_issue,All LLM providers failed. Escalating for safety. Error: Cannot connect to Ollama. Make sure it is running (expected at http://localhost:11434). Start it with: ollama serve
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time",HackerRank,We are unable to process your request at this time. A human agent will follow up with you shortly.,integrations,escalated,product_issue,All LLM providers failed. Escalating for safety. Error: Cannot connect to Ollama. Make sure it is running (expected at http://localhost:11434). Start it with: ollama serve
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account",,HackerRank,We are unable to process your request at this time. A human agent will follow up with you shortly.,community,escalated,product_issue,All LLM providers failed. Escalating for safety. Error: Cannot connect to Ollama. Make sure it is running (expected at http://localhost:11434). Start it with: ollama serve
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",,Claude,We are unable to process your request at this time. A human agent will follow up with you shortly.,claude_general,escalated,product_issue,All LLM providers failed. Escalating for safety. Error: Cannot connect to Ollama. Make sure it is running (expected at http://localhost:11434). Start it with: ollama serve
What is the name of the actor in Iron Man?,"Urgent, please help",None,We are unable to process your request at this time. A human agent will follow up with you shortly.,claude_general,escalated,invalid,All LLM providers failed. Escalating for safety. Error: Cannot connect to Ollama. Make sure it is running (expected at http://localhost:11434). Start it with: ollama serve
I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,,Visa,We are unable to process your request at this time. A human agent will follow up with you shortly.,general_support,escalated,product_issue,All LLM providers failed. Escalating for safety. Error: Cannot connect to Ollama. Make sure it is running (expected at http://localhost:11434). Start it with: ollama serve
Where can I report a lost or stolen Visa card from India?,Card stolen,Visa,We are unable to process your request at this time. A human agent will follow up with you shortly.,visa,escalated,product_issue,All LLM providers failed. Escalating for safety. Error: Cannot connect to Ollama. Make sure it is running (expected at http://localhost:11434). Start it with: ollama serve
Thank you for helping me,,None,"Thank you for reaching out to us. However, I'm unable to provide a complete and safe response based on the provided documentation. Your concern seems to be more related to general support or appreciation rather than a specific issue with our product or service. To better assist you, please contact our support team directly so we can discuss your inquiry further.",general_support,escalated,invalid,"The ticket does not match any of the specific topics covered in the provided documentation, and it appears to be an expression of gratitude rather than a request for assistance with a particular issue. Escalating this ticket will allow us to provide more personalized support and ensure that we address your concerns effectively."
